"Area","Year","Month","Labor Force","Employed","Unemployed","Area Rate","Massachusetts Rate"
"BARNSTABLE COUNTY","2018","October","114602","111037","3565","3.1","2.9"
"BARNSTABLE COUNTY","2018","November","111440","107170","4270","3.8","2.8"
"BARNSTABLE COUNTY","2018","December","112089","106836","5253","4.7","3.0"
"BARNSTABLE COUNTY","2018","Annual","116246","111087","5159","4.4","3.4"
"BARNSTABLE COUNTY","2017","January","107081","98862","8219","7.7","4.5"
"BARNSTABLE COUNTY","2017","February","106606","98556","8050","7.6","4.4"
"BARNSTABLE COUNTY","2017","March","107441","100378","7063","6.6","4.0"
"BARNSTABLE COUNTY","2017","April","108981","103669","5312","4.9","3.6"
"BARNSTABLE COUNTY","2017","May","112553","107791","4762","4.2","3.7"
"BARNSTABLE COUNTY","2017","June","122351","117765","4586","3.7","4.0"
"BARNSTABLE COUNTY","2017","July","128450","123986","4464","3.5","4.1"
"BARNSTABLE COUNTY","2017","August","128097","123838","4259","3.3","3.8"
"BARNSTABLE COUNTY","2017","September","116771","112607","4164","3.6","3.7"
"BARNSTABLE COUNTY","2017","October","112606","108658","3948","3.5","3.3"
"BARNSTABLE COUNTY","2017","November","110447","105558","4889","4.4","3.3"
"BARNSTABLE COUNTY","2017","December","110162","104459","5703","5.2","3.4"
"BARNSTABLE COUNTY","2017","Annual","114296","108844","5452","4.8","3.8"
"BARNSTABLE COUNTY","2016","January","105055","96259","8796","8.4","4.9"
"BARNSTABLE COUNTY","2016","February","104654","96142","8512","8.1","4.7"
"BARNSTABLE COUNTY","2016","March","106145","98232","7913","7.5","4.5"
"BARNSTABLE COUNTY","2016","April","107095","101327","5768","5.4","3.9"
"BARNSTABLE COUNTY","2016","May","110025","105168","4857","4.4","3.9"
"BARNSTABLE COUNTY","2016","June","118556","113760","4796","4.0","4.2"
"BARNSTABLE COUNTY","2016","July","125732","121127","4605","3.7","4.2"
"BARNSTABLE COUNTY","2016","August","124919","120784","4135","3.3","3.8"
"BARNSTABLE COUNTY","2016","September","113410","109193","4217","3.7","3.8"
"BARNSTABLE COUNTY","2016","October","109975","105992","3983","3.6","3.5"
"BARNSTABLE COUNTY","2016","November","107456","102716","4740","4.4","3.3"
"BARNSTABLE COUNTY","2016","December","107100","101424","5676","5.3","3.5"
"BARNSTABLE COUNTY","2016","Annual","111677","106010","5667","5.1","4.0"
"BARNSTABLE COUNTY","2015","January","106819","96517","10302","9.6","5.8"
"BARNSTABLE COUNTY","2015","February","105508","95465","10043","9.5","5.5"
"BARNSTABLE COUNTY","2015","March","105416","96299","9117","8.6","5.2"
"BARNSTABLE COUNTY","2015","April","107434","100734","6700","6.2","4.6"
"BARNSTABLE COUNTY","2015","May","112258","106017","6241","5.6","4.9"
"BARNSTABLE COUNTY","2015","June","119190","113347","5843","4.9","5.0"
"BARNSTABLE COUNTY","2015","July","124725","119075","5650","4.5","5.0"
"BARNSTABLE COUNTY","2015","August","123605","118606","4999","4.0","4.5"
"BARNSTABLE COUNTY","2015","September","112574","107502","5072","4.5","4.5"
"BARNSTABLE COUNTY","2015","October","109124","104062","5062","4.6","4.2"
"BARNSTABLE COUNTY","2015","November","106637","100631","6006","5.6","4.1"
"BARNSTABLE COUNTY","2015","December","106330","99636","6694","6.3","4.1"
"BARNSTABLE COUNTY","2015","Annual","111635","104824","6811","6.1","4.8"
"BARNSTABLE COUNTY","2014","January","105344","94142","11202","10.6","6.7"
"BARNSTABLE COUNTY","2014","February","105265","93878","11387","10.8","6.7"
"BARNSTABLE COUNTY","2014","March","106258","95474","10784","10.1","6.4"
"BARNSTABLE COUNTY","2014","April","107306","99395","7911","7.4","5.5"
"BARNSTABLE COUNTY","2014","May","111675","104451","7224","6.5","5.7"
"BARNSTABLE COUNTY","2014","June","119113","112155","6958","5.8","5.9"
"BARNSTABLE COUNTY","2014","July","125082","118078","7004","5.6","6.1"
"BARNSTABLE COUNTY","2014","August","123715","117257","6458","5.2","5.7"
"BARNSTABLE COUNTY","2014","September","113757","107444","6313","5.5","5.5"
"BARNSTABLE COUNTY","2014","October","111137","105022","6115","5.5","5.0"
"BARNSTABLE COUNTY","2014","November","108950","101735","7215","6.6","4.9"
"BARNSTABLE COUNTY","2014","December","107952","100176","7776","7.2","4.8"
"BARNSTABLE COUNTY","2014","Annual","112130","104101","8029","7.2","5.7"
"BARNSTABLE COUNTY","2013","January","104744","92252","12492","11.9","7.6"
"BARNSTABLE COUNTY","2013","February","103613","91347","12266","11.8","7.2"
"BARNSTABLE COUNTY","2013","March","103769","92426","11343","10.9","6.9"
"BARNSTABLE COUNTY","2013","April","105000","96134","8866","8.4","6.3"
"BARNSTABLE COUNTY","2013","May","108177","100018","8159","7.5","6.6"
"BARNSTABLE COUNTY","2013","June","114840","106670","8170","7.1","7.1"
"BARNSTABLE COUNTY","2013","July","120171","112276","7895","6.6","7.0"
"BARNSTABLE COUNTY","2013","August","118485","111163","7322","6.2","6.5"
"BARNSTABLE COUNTY","2013","September","109411","101957","7454","6.8","6.5"
"BARNSTABLE COUNTY","2013","October","106082","98707","7375","7.0","6.2"
"BARNSTABLE COUNTY","2013","November","104591","96087","8504","8.1","5.9"
"BARNSTABLE COUNTY","2013","December","104406","95508","8898","8.5","5.9"
"BARNSTABLE COUNTY","2013","Annual","108607","99545","9062","8.3","6.6"
"BARNSTABLE COUNTY","2012","January","103322","91245","12077","11.7","7.4"
"BARNSTABLE COUNTY","2012","February","103172","91148","12024","11.7","7.3"
"BARNSTABLE COUNTY","2012","March","103946","92507","11439","11.0","6.9"
"BARNSTABLE COUNTY","2012","April","105245","96308","8937","8.5","6.3"
"BARNSTABLE COUNTY","2012","May","108265","99757","8508","7.9","6.5"
"BARNSTABLE COUNTY","2012","June","115783","107536","8247","7.1","6.9"
"BARNSTABLE COUNTY","2012","July","119973","111784","8189","6.8","7.1"
"BARNSTABLE COUNTY","2012","August","118915","111294","7621","6.4","6.7"
"BARNSTABLE COUNTY","2012","September","109969","102368","7601","6.9","6.5"
"BARNSTABLE COUNTY","2012","October","107338","99694","7644","7.1","6.3"
"BARNSTABLE COUNTY","2012","November","105380","96533","8847","8.4","6.1"
"BARNSTABLE COUNTY","2012","December","105588","95605","9983","9.5","6.4"
"BARNSTABLE COUNTY","2012","Annual","108908","99648","9260","8.5","6.7"
"BARNSTABLE COUNTY","2011","January","105387","91773","13614","12.9","8.3"
"BARNSTABLE COUNTY","2011","February","104423","91075","13348","12.8","8.0"
"BARNSTABLE COUNTY","2011","March","105257","92598","12659","12.0","7.6"
"BARNSTABLE COUNTY","2011","April","106077","96323","9754","9.2","7.0"
"BARNSTABLE COUNTY","2011","May","108894","99775","9119","8.4","7.1"
"BARNSTABLE COUNTY","2011","June","116467","107606","8861","7.6","7.5"
"BARNSTABLE COUNTY","2011","July","121641","113120","8521","7.0","7.5"
"BARNSTABLE COUNTY","2011","August","121937","113754","8183","6.7","7.0"
"BARNSTABLE COUNTY","2011","September","111440","103218","8222","7.4","7.1"
"BARNSTABLE COUNTY","2011","October","108354","100376","7978","7.4","6.6"
"BARNSTABLE COUNTY","2011","November","106022","96976","9046","8.5","6.4"
"BARNSTABLE COUNTY","2011","December","105835","95769","10066","9.5","6.5"
"BARNSTABLE COUNTY","2011","Annual","110145","100197","9948","9.0","7.2"
"BARNSTABLE COUNTY","2010","January","105989","91580","14409","13.6","9.3"
"BARNSTABLE COUNTY","2010","February","104917","90817","14100","13.4","9.1"
"BARNSTABLE COUNTY","2010","March","105584","92114","13470","12.8","8.7"
"BARNSTABLE COUNTY","2010","April","107175","96423","10752","10.0","8.0"
"BARNSTABLE COUNTY","2010","May","110325","100621","9704","8.8","7.9"
"BARNSTABLE COUNTY","2010","June","117330","108144","9186","7.8","8.1"
"BARNSTABLE COUNTY","2010","July","123423","114327","9096","7.4","8.1"
"BARNSTABLE COUNTY","2010","August","122489","113934","8555","7.0","7.7"
"BARNSTABLE COUNTY","2010","September","113302","104458","8844","7.8","7.8"
"BARNSTABLE COUNTY","2010","October","108732","100041","8691","8.0","7.3"
"BARNSTABLE COUNTY","2010","November","106870","96378","10492","9.8","7.5"
"BARNSTABLE COUNTY","2010","December","106645","95504","11141","10.4","7.4"
"BARNSTABLE COUNTY","2010","Annual","111065","100362","10703","9.6","8.1"
"BARNSTABLE COUNTY","2009","January","114764","101897","12867","11.2","7.8"
"BARNSTABLE COUNTY","2009","February","113528","101128","12400","10.9","8.1"
"BARNSTABLE COUNTY","2009","March","113934","102222","11712","10.3","8.1"
"BARNSTABLE COUNTY","2009","April","115855","106446","9409","8.1","7.5"
"BARNSTABLE COUNTY","2009","May","120460","111715","8745","7.3","8.0"
"BARNSTABLE COUNTY","2009","June","130720","121685","9035","6.9","8.4"
"BARNSTABLE COUNTY","2009","July","138404","129630","8774","6.3","8.5"
"BARNSTABLE COUNTY","2009","August","137598","128975","8623","6.3","8.2"
"BARNSTABLE COUNTY","2009","September","125280","116173","9107","7.3","8.4"
"BARNSTABLE COUNTY","2009","October","120084","110956","9128","7.6","8.1"
"BARNSTABLE COUNTY","2009","November","117427","106635","10792","9.2","7.9"
"BARNSTABLE COUNTY","2009","December","116789","104761","12028","10.3","8.2"
"BARNSTABLE COUNTY","2009","Annual","122070","111852","10218","8.4","8.1"
"BARNSTABLE COUNTY","2008","January","113506","104983","8523","7.5","5.2"
"BARNSTABLE COUNTY","2008","February","112231","104001","8230","7.3","5.1"
"BARNSTABLE COUNTY","2008","March","113204","105328","7876","7.0","4.9"
"BARNSTABLE COUNTY","2008","April","115836","109332","6504","5.6","4.4"
"BARNSTABLE COUNTY","2008","May","120923","114909","6014","5.0","4.9"
"BARNSTABLE COUNTY","2008","June","130834","124314","6520","5.0","5.3"
"BARNSTABLE COUNTY","2008","July","137871","131738","6133","4.4","5.5"
"BARNSTABLE COUNTY","2008","August","136554","130518","6036","4.4","5.4"
"BARNSTABLE COUNTY","2008","September","125152","118531","6621","5.3","5.5"
"BARNSTABLE COUNTY","2008","October","120534","113713","6821","5.7","5.4"
"BARNSTABLE COUNTY","2008","November","117040","108465","8575","7.3","5.7"
"BARNSTABLE COUNTY","2008","December","116501","106343","10158","8.7","6.3"
"BARNSTABLE COUNTY","2008","Annual","121682","114348","7334","6.0","5.3"
"BARNSTABLE COUNTY","2007","January","114221","105541","8680","7.6","5.4"
"BARNSTABLE COUNTY","2007","February","113073","105055","8018","7.1","5.1"
"BARNSTABLE COUNTY","2007","March","113849","106598","7251","6.4","4.7"
"BARNSTABLE COUNTY","2007","April","115839","109943","5896","5.1","4.3"
"BARNSTABLE COUNTY","2007","May","119865","114542","5323","4.4","4.3"
"BARNSTABLE COUNTY","2007","June","130783","125259","5524","4.2","4.6"
"BARNSTABLE COUNTY","2007","July","137031","131956","5075","3.7","4.7"
"BARNSTABLE COUNTY","2007","August","135346","130879","4467","3.3","4.3"
"BARNSTABLE COUNTY","2007","September","124751","119909","4842","3.9","4.4"
"BARNSTABLE COUNTY","2007","October","119723","115328","4395","3.7","4.0"
"BARNSTABLE COUNTY","2007","November","116614","111114","5500","4.7","4.0"
"BARNSTABLE COUNTY","2007","December","114769","108282","6487","5.7","4.3"
"BARNSTABLE COUNTY","2007","Annual","121322","115367","5955","4.9","4.5"
"BARNSTABLE COUNTY","2006","January","115252","106850","8402","7.3","5.3"
"BARNSTABLE COUNTY","2006","February","113796","105659","8137","7.2","5.3"
"BARNSTABLE COUNTY","2006","March","114650","106915","7735","6.7","5.0"
"BARNSTABLE COUNTY","2006","April","117616","111031","6585","5.6","4.6"
"BARNSTABLE COUNTY","2006","May","120868","115190","5678","4.7","4.6"
"BARNSTABLE COUNTY","2006","June","129788","124042","5746","4.4","4.8"
"BARNSTABLE COUNTY","2006","July","136850","131615","5235","3.8","5.0"
"BARNSTABLE COUNTY","2006","August","136396","131466","4930","3.6","4.6"
"BARNSTABLE COUNTY","2006","September","125136","119959","5177","4.1","4.7"
"BARNSTABLE COUNTY","2006","October","121623","116967","4656","3.8","4.1"
"BARNSTABLE COUNTY","2006","November","118364","112389","5975","5.0","4.3"
"BARNSTABLE COUNTY","2006","December","117055","110316","6739","5.8","4.3"
"BARNSTABLE COUNTY","2006","Annual","122283","116033","6250","5.1","4.7"
"BARNSTABLE COUNTY","2005","January","114489","106361","8128","7.1","5.5"
"BARNSTABLE COUNTY","2005","February","113029","105020","8009","7.1","5.5"
"BARNSTABLE COUNTY","2005","March","113601","106173","7428","6.5","5.1"
"BARNSTABLE COUNTY","2005","April","117257","111319","5938","5.1","4.6"
"BARNSTABLE COUNTY","2005","May","120394","115199","5195","4.3","4.7"
"BARNSTABLE COUNTY","2005","June","129974","124605","5369","4.1","4.9"
"BARNSTABLE COUNTY","2005","July","137809","132781","5028","3.6","4.9"
"BARNSTABLE COUNTY","2005","August","136794","132251","4543","3.3","4.5"
"BARNSTABLE COUNTY","2005","September","126138","121094","5044","4.0","4.8"
"BARNSTABLE COUNTY","2005","October","121433","116703","4730","3.9","4.3"
"BARNSTABLE COUNTY","2005","November","117853","111762","6091","5.2","4.5"
"BARNSTABLE COUNTY","2005","December","116937","110179","6758","5.8","4.5"
"BARNSTABLE COUNTY","2005","Annual","122143","116121","6022","4.9","4.8"
"BARNSTABLE COUNTY","2004","January","116285","107438","8847","7.6","6.1"
"BARNSTABLE COUNTY","2004","February","115049","106809","8240","7.2","5.8"
"BARNSTABLE COUNTY","2004","March","115795","107771","8024","6.9","5.7"
"BARNSTABLE COUNTY","2004","April","118248","112150","6098","5.2","5.0"
"BARNSTABLE COUNTY","2004","May","122242","116732","5510","4.5","5.0"
"BARNSTABLE COUNTY","2004","June","131305","125527","5778","4.4","5.4"
"BARNSTABLE COUNTY","2004","July","137786","132577","5209","3.8","5.3"
"BARNSTABLE COUNTY","2004","August","137687","132850","4837","3.5","4.8"
"BARNSTABLE COUNTY","2004","September","126492","121856","4636","3.7","4.8"
"BARNSTABLE COUNTY","2004","October","122188","117742","4446","3.6","4.4"
"BARNSTABLE COUNTY","2004","November","118743","113153","5590","4.7","4.5"
"BARNSTABLE COUNTY","2004","December","117385","111179","6206","5.3","4.5"
"BARNSTABLE COUNTY","2004","Annual","123267","117149","6118","5.0","5.1"
"BARNSTABLE COUNTY","2003","January","114093","105564","8529","7.5","6.3"
"BARNSTABLE COUNTY","2003","February","112738","104700","8038","7.1","6.1"
"BARNSTABLE COUNTY","2003","March","113373","105631","7742","6.8","6.0"
"BARNSTABLE COUNTY","2003","April","116143","109747","6396","5.5","5.5"
"BARNSTABLE COUNTY","2003","May","120640","114925","5715","4.7","5.7"
"BARNSTABLE COUNTY","2003","June","130897","124859","6038","4.6","6.2"
"BARNSTABLE COUNTY","2003","July","136946","131680","5266","3.8","6.0"
"BARNSTABLE COUNTY","2003","August","137378","132309","5069","3.7","5.6"
"BARNSTABLE COUNTY","2003","September","126508","121331","5177","4.1","5.7"
"BARNSTABLE COUNTY","2003","October","122754","117809","4945","4.0","5.2"
"BARNSTABLE COUNTY","2003","November","119506","113165","6341","5.3","5.2"
"BARNSTABLE COUNTY","2003","December","118090","111229","6861","5.8","5.1"
"BARNSTABLE COUNTY","2003","Annual","122422","116079","6343","5.2","5.7"
"BARNSTABLE COUNTY","2002","January","109086","101899","7187","6.6","5.6"
"BARNSTABLE COUNTY","2002","February","108572","101688","6884","6.3","5.4"
"BARNSTABLE COUNTY","2002","March","109770","102940","6830","6.2","5.4"
"BARNSTABLE COUNTY","2002","April","112299","106652","5647","5.0","5.0"
"BARNSTABLE COUNTY","2002","May","116980","112122","4858","4.2","4.9"
"BARNSTABLE COUNTY","2002","June","127330","122166","5164","4.1","5.4"
"BARNSTABLE COUNTY","2002","July","134964","130087","4877","3.6","5.4"
"BARNSTABLE COUNTY","2002","August","133482","129108","4374","3.3","5.1"
"BARNSTABLE COUNTY","2002","September","123755","119073","4682","3.8","5.2"
"BARNSTABLE COUNTY","2002","October","119496","115173","4323","3.6","4.9"
"BARNSTABLE COUNTY","2002","November","116148","110394","5754","5.0","5.1"
"BARNSTABLE COUNTY","2002","December","115080","108710","6370","5.5","5.3"
"BARNSTABLE COUNTY","2002","Annual","118913","113334","5579","4.7","5.2"
"BARNSTABLE COUNTY","2001","January","106418","100049","6369","6.0","3.7"
"BARNSTABLE COUNTY","2001","February","105873","99791","6082","5.7","3.5"
"BARNSTABLE COUNTY","2001","March","107124","101308","5816","5.4","3.6"
"BARNSTABLE COUNTY","2001","April","108912","104395","4517","4.1","3.2"
"BARNSTABLE COUNTY","2001","May","112812","109000","3812","3.4","3.3"
"BARNSTABLE COUNTY","2001","June","122924","119115","3809","3.1","3.8"
"BARNSTABLE COUNTY","2001","July","129490","125851","3639","2.8","3.9"
"BARNSTABLE COUNTY","2001","August","127105","123762","3343","2.6","3.9"
"BARNSTABLE COUNTY","2001","September","118722","115289","3433","2.9","4.0"
"BARNSTABLE COUNTY","2001","October","114352","111069","3283","2.9","4.0"
"BARNSTABLE COUNTY","2001","November","111626","107131","4495","4.0","4.2"
"BARNSTABLE COUNTY","2001","December","110583","105434","5149","4.7","4.4"
"BARNSTABLE COUNTY","2001","Annual","114662","110183","4479","3.9","3.8"
"BERKSHIRE COUNTY","2020","January","63860","60907","2953","4.6","3.5"
"BERKSHIRE COUNTY","2020","February","63727","60966","2761","4.3","3.3"
"BERKSHIRE COUNTY","2020","March","62586","59692","2894","4.6","3.6"
"BERKSHIRE COUNTY","2020","April","56908","46716","10192","17.9","16.7"
"BERKSHIRE COUNTY","2020","May","60150","50893","9257","15.4","15.6"
"BERKSHIRE COUNTY","2020","June","63534","54811","8723","13.7","14.5"
"BERKSHIRE COUNTY","2020","July","64930","56514","8416","13.0","13.0"
"BERKSHIRE COUNTY","2020","August","63975","57358","6617","10.3","10.3"
"BERKSHIRE COUNTY","2020","September","62629","56550","6079","9.7","9.8"
"BERKSHIRE COUNTY","2020","October","62549","57375","5174","8.3","8.1"
"BERKSHIRE COUNTY","2020","November","61672","56613","5059","8.2","7.6"
"BERKSHIRE COUNTY","2020","December","61928","56801","5127","8.3","7.4"
"BERKSHIRE COUNTY","2020","Annual","62370","56266","6104","9.8","9.4"
"BERKSHIRE COUNTY","2019","January","65417","62055","3362","5.1","4.0"
"BERKSHIRE COUNTY","2019","February","64847","61694","3153","4.9","3.6"
"BERKSHIRE COUNTY","2019","March","64541","61652","2889","4.5","3.4"
"BERKSHIRE COUNTY","2019","April","63667","61367","2300","3.6","2.8"
"BERKSHIRE COUNTY","2019","May","64365","62152","2213","3.4","2.9"
"BERKSHIRE COUNTY","2019","June","66891","64500","2391","3.6","3.2"
"BERKSHIRE COUNTY","2019","July","67941","65592","2349","3.5","3.3"
"BERKSHIRE COUNTY","2019","August","66931","64692","2239","3.3","3.0"
"BERKSHIRE COUNTY","2019","September","63913","61880","2033","3.2","2.8"
"BERKSHIRE COUNTY","2019","October","63695","61836","1859","2.9","2.6"
"BERKSHIRE COUNTY","2019","November","62909","60959","1950","3.1","2.5"
"BERKSHIRE COUNTY","2019","December","63047","60824","2223","3.5","2.6"
"BERKSHIRE COUNTY","2019","Annual","64847","62434","2413","3.7","3.1"
"BERKSHIRE COUNTY","2018","January","65306","61688","3618","5.5","4.3"
"BERKSHIRE COUNTY","2018","February","65034","61451","3583","5.5","4.2"
"BERKSHIRE COUNTY","2018","March","64648","61315","3333","5.2","3.8"
"BERKSHIRE COUNTY","2018","April","63780","60954","2826","4.4","3.3"
"BERKSHIRE COUNTY","2018","May","64838","62209","2629","4.1","3.3"
"BERKSHIRE COUNTY","2018","June","67238","64434","2804","4.2","3.7"
"BERKSHIRE COUNTY","2018","July","68719","66078","2641","3.8","3.7"
"BERKSHIRE COUNTY","2018","August","67558","65197","2361","3.5","3.3"
"BERKSHIRE COUNTY","2018","September","64790","62466","2324","3.6","3.2"
"BERKSHIRE COUNTY","2018","October","65088","62934","2154","3.3","2.9"
"BERKSHIRE COUNTY","2018","November","64741","62476","2265","3.5","2.8"
"BERKSHIRE COUNTY","2018","December","65395","62718","2677","4.1","3.0"
"BERKSHIRE COUNTY","2018","Annual","65595","62827","2768","4.2","3.4"
"BERKSHIRE COUNTY","2017","January","65005","61348","3657","5.6","4.5"
"BERKSHIRE COUNTY","2017","February","64653","60989","3664","5.7","4.4"
"BERKSHIRE COUNTY","2017","March","64420","61039","3381","5.2","4.0"
"BERKSHIRE COUNTY","2017","April","63993","61066","2927","4.6","3.6"
"BERKSHIRE COUNTY","2017","May","64510","61669","2841","4.4","3.7"
"BERKSHIRE COUNTY","2017","June","67286","64345","2941","4.4","4.0"
"BERKSHIRE COUNTY","2017","July","68452","65560","2892","4.2","4.1"
"BERKSHIRE COUNTY","2017","August","67622","64866","2756","4.1","3.8"
"BERKSHIRE COUNTY","2017","September","64936","62219","2717","4.2","3.7"
"BERKSHIRE COUNTY","2017","October","64606","62180","2426","3.8","3.3"
"BERKSHIRE COUNTY","2017","November","64539","62025","2514","3.9","3.3"
"BERKSHIRE COUNTY","2017","December","65123","62315","2808","4.3","3.4"
"BERKSHIRE COUNTY","2017","Annual","65428","62468","2960","4.5","3.8"
"BERKSHIRE COUNTY","2016","January","63900","60081","3819","6.0","4.9"
"BERKSHIRE COUNTY","2016","February","64219","60487","3732","5.8","4.7"
"BERKSHIRE COUNTY","2016","March","64169","60548","3621","5.6","4.5"
"BERKSHIRE COUNTY","2016","April","63117","60023","3094","4.9","3.9"
"BERKSHIRE COUNTY","2016","May","63502","60643","2859","4.5","3.9"
"BERKSHIRE COUNTY","2016","June","65779","62762","3017","4.6","4.2"
"BERKSHIRE COUNTY","2016","July","67043","64087","2956","4.4","4.2"
"BERKSHIRE COUNTY","2016","August","66357","63722","2635","4.0","3.8"
"BERKSHIRE COUNTY","2016","September","63711","61056","2655","4.2","3.8"
"BERKSHIRE COUNTY","2016","October","63645","61222","2423","3.8","3.5"
"BERKSHIRE COUNTY","2016","November","63397","60953","2444","3.9","3.3"
"BERKSHIRE COUNTY","2016","December","63912","61115","2797","4.4","3.5"
"BERKSHIRE COUNTY","2016","Annual","64396","61392","3004","4.7","4.0"
"BERKSHIRE COUNTY","2015","January","65397","60911","4486","6.9","5.8"
"BERKSHIRE COUNTY","2015","February","65497","61210","4287","6.5","5.5"
"BERKSHIRE COUNTY","2015","March","64908","60886","4022","6.2","5.2"
"BERKSHIRE COUNTY","2015","April","63957","60414","3543","5.5","4.6"
"BERKSHIRE COUNTY","2015","May","64905","61439","3466","5.3","4.9"
"BERKSHIRE COUNTY","2015","June","66490","63019","3471","5.2","5.0"
"BERKSHIRE COUNTY","2015","July","67914","64424","3490","5.1","5.0"
"BERKSHIRE COUNTY","2015","August","67315","64178","3137","4.7","4.5"
"BERKSHIRE COUNTY","2015","September","63810","60759","3051","4.8","4.5"
"BERKSHIRE COUNTY","2015","October","63774","60826","2948","4.6","4.2"
"BERKSHIRE COUNTY","2015","November","63822","60759","3063","4.8","4.1"
"BERKSHIRE COUNTY","2015","December","63741","60521","3220","5.1","4.1"
"BERKSHIRE COUNTY","2015","Annual","65127","61612","3515","5.4","4.8"
"BERKSHIRE COUNTY","2014","January","64675","59568","5107","7.9","6.7"
"BERKSHIRE COUNTY","2014","February","65141","59938","5203","8.0","6.7"
"BERKSHIRE COUNTY","2014","March","65103","60082","5021","7.7","6.4"
"BERKSHIRE COUNTY","2014","April","64152","59797","4355","6.8","5.5"
"BERKSHIRE COUNTY","2014","May","65298","60974","4324","6.6","5.7"
"BERKSHIRE COUNTY","2014","June","67061","62722","4339","6.5","5.9"
"BERKSHIRE COUNTY","2014","July","67829","63415","4414","6.5","6.1"
"BERKSHIRE COUNTY","2014","August","67411","63388","4023","6.0","5.7"
"BERKSHIRE COUNTY","2014","September","65143","61264","3879","6.0","5.5"
"BERKSHIRE COUNTY","2014","October","65080","61524","3556","5.5","5.0"
"BERKSHIRE COUNTY","2014","November","65057","61377","3680","5.7","4.9"
"BERKSHIRE COUNTY","2014","December","65506","61719","3787","5.8","4.8"
"BERKSHIRE COUNTY","2014","Annual","65621","61314","4307","6.6","5.7"
"BERKSHIRE COUNTY","2013","January","65329","59546","5783","8.9","7.6"
"BERKSHIRE COUNTY","2013","February","65633","60205","5428","8.3","7.2"
"BERKSHIRE COUNTY","2013","March","65111","59870","5241","8.0","6.9"
"BERKSHIRE COUNTY","2013","April","64949","60278","4671","7.2","6.3"
"BERKSHIRE COUNTY","2013","May","65721","60975","4746","7.2","6.6"
"BERKSHIRE COUNTY","2013","June","67419","62469","4950","7.3","7.1"
"BERKSHIRE COUNTY","2013","July","68254","63389","4865","7.1","7.0"
"BERKSHIRE COUNTY","2013","August","67262","62748","4514","6.7","6.5"
"BERKSHIRE COUNTY","2013","September","64754","60215","4539","7.0","6.5"
"BERKSHIRE COUNTY","2013","October","64188","59864","4324","6.7","6.2"
"BERKSHIRE COUNTY","2013","November","64139","59773","4366","6.8","5.9"
"BERKSHIRE COUNTY","2013","December","64701","60297","4404","6.8","5.9"
"BERKSHIRE COUNTY","2013","Annual","65621","60802","4819","7.3","6.6"
